id,user_id,journey_id,created_at,updated_at,enrolling_times,enrollments_at,last_enrolled_at,study_duration,avg_submission_rating
"104,582","96,989",32,"Apr 11, 2020, 14:39","Apr 11, 2020, 14:39",3,"2018-08-29 11:19:45,2019-02-05 09:20:57,2020-02-26 17:05:28","Feb 26, 2020, 17:05",44,4.5
"30,951","96,989",51,"Aug 10, 2019, 02:42","Aug 10, 2019, 02:42",1,2019-06-20 21:01:59,"Jun 20, 2019, 21:01",50,3
"74,313","96,989",74,"Dec 23, 2019, 06:22","Dec 23, 2019, 06:22",2,"2019-10-29 09:34:40,2019-10-31 09:38:30","Oct 31, 2019, 09:38",52,2.67
"26,219","96,989",83,"Jun 20, 2019, 05:45","Jun 20, 2019, 05:45",1,2019-06-14 18:15:40,"Jun 14, 2019, 18:15",5,3
"23,887","96,989",104,"May 18, 2019, 08:58","May 18, 2019, 08:58",1,2019-05-10 14:30:08,"May 10, 2019, 14:30",7,4
"25,646","96,989",123,"Jun 15, 2019, 20:48","Jun 15, 2019, 20:48",2,"2019-05-18 20:06:32,2019-06-14 13:10:20","Jun 14, 2019, 13:10",1,5
"964,728","96,989",144,"Jun 12, 2022, 22:10","Jun 12, 2022, 22:10",1,2022-03-06 11:21:57,"Mar 6, 2022, 11:21",98,
"115,532","96,989",145,"Apr 19, 2020, 19:32","Apr 19, 2020, 19:32",2,"2020-02-11 10:16:34,2020-04-03 11:44:26","Apr 3, 2020, 11:44",16,
"76,929","96,989",153,"Jan 16, 2020, 18:30","Jan 16, 2020, 18:30",1,2019-12-21 14:55:36,"Dec 21, 2019, 14:55",26,2
"888,998","96,989",163,"Apr 14, 2022, 05:46","Apr 14, 2022, 05:46",2,"2020-07-22 10:38:31,2022-03-10 19:35:45","Mar 10, 2022, 19:35",34,5
"142,096","96,989",169,"May 7, 2020, 18:40","May 7, 2020, 18:40",1,2020-04-22 18:43:38,"Apr 22, 2020, 18:43",14,
"208,936","96,989",171,"Jun 26, 2020, 09:30","Jun 26, 2020, 09:30",1,2020-04-14 18:30:06,"Apr 14, 2020, 18:30",72,4
"626,494","96,989",191,"Jul 25, 2021, 22:03","Jul 25, 2021, 22:03",1,2021-05-15 21:06:52,"May 15, 2021, 21:06",71,
"996,788","96,989",219,"Jun 27, 2022, 06:09","Jun 27, 2022, 06:09",1,2022-04-14 05:47:52,"Apr 14, 2022, 05:47",74,4
"461,796","96,989",251,"Apr 29, 2021, 09:12","Mar 14, 2024, 12:20",1,2021-04-11 21:52:15,"Apr 11, 2021, 21:52",17,
"842,568","96,989",256,"Feb 26, 2022, 16:03","Mar 12, 2024, 09:36",1,2022-02-18 20:22:30,"Feb 18, 2022, 20:22",7,
"850,798","96,989",261,"Mar 6, 2022, 16:11","Mar 13, 2024, 16:49",1,2022-03-05 21:55:22,"Mar 5, 2022, 21:55",0,5
"611,190","96,989",266,"Jul 20, 2021, 21:25","Jul 20, 2021, 21:25",1,2021-06-16 12:27:22,"Jun 16, 2021, 12:27",34,
"855,798","96,989",315,"Mar 10, 2022, 19:26","Mar 10, 2022, 19:26",2,"2022-03-07 21:05:47,2022-03-07 21:06:47","Mar 7, 2022, 21:06",2,4
"891,438","96,989",337,"Apr 17, 2022, 14:31","Apr 17, 2022, 14:31",1,2022-04-17 13:10:00,"Apr 17, 2022, 13:10",0,
"850,148","96,989",342,"Mar 5, 2022, 21:36","Mar 14, 2024, 08:45",1,2022-02-26 15:34:46,"Feb 26, 2022, 15:34",7,5
"1,391,385","96,989",382,"Jan 8, 2023, 20:23","Jan 8, 2023, 20:23",1,2022-11-02 11:17:29,"Nov 2, 2022, 11:17",67,
"915,213","96,989",403,"May 17, 2022, 13:23","May 17, 2022, 13:23",1,2022-05-16 17:17:03,"May 16, 2022, 17:17",0,4
"1,143,185","96,989",413,"Aug 26, 2022, 11:25","Aug 26, 2022, 11:25",1,2022-08-18 11:58:10,"Aug 18, 2022, 11:58",7,4.5
"1,411,200","96,989",418,"Jan 27, 2023, 09:43","Jan 27, 2023, 09:43",1,2022-11-14 12:08:26,"Nov 14, 2022, 12:08",73,4.5
"2,617,753","96,989",610,"Mar 15, 2024, 13:57","Mar 15, 2024, 13:57",1,2023-12-21 11:22:17,"Dec 21, 2023, 11:22",85,5
"3,768,632","96,989",881,"Sep 28, 2025, 19:50","Sep 28, 2025, 19:50",1,2025-09-27 13:47:36,"Sep 27, 2025, 13:47",1,5
"433,180","938,276",14,"Apr 13, 2021, 12:55","Apr 13, 2021, 12:55",1,2021-03-09 20:56:40,"Mar 9, 2021, 20:56",34,4
"395,152","938,276",51,"Mar 6, 2021, 17:47","Mar 6, 2021, 17:47",1,2021-03-01 13:28:31,"Mar 1, 2021, 13:28",5,5
"348,771","938,276",74,"Nov 19, 2020, 12:13","Nov 19, 2020, 12:13",1,2020-10-03 18:29:37,"Oct 3, 2020, 18:29",46,4.33
"381,397","938,276",80,"Feb 24, 2021, 10:00","Feb 24, 2021, 10:00",1,2021-02-16 17:43:35,"Feb 16, 2021, 17:43",7,4
"187,377","938,276",123,"Jun 9, 2020, 09:09","Jun 9, 2020, 09:09",1,2020-06-02 13:20:57,"Jun 2, 2020, 13:20",6,5
"496,904","938,276",129,"May 24, 2021, 14:06","May 24, 2021, 14:06",1,2021-04-14 09:00:08,"Apr 14, 2021, 09:00",40,4.33
"1,302,525","938,276",133,"Nov 7, 2022, 03:11","Nov 7, 2022, 03:11",1,2022-09-02 16:17:10,"Sep 2, 2022, 16:17",65,5
"259,084","938,276",163,"Aug 13, 2020, 21:16","Aug 13, 2020, 21:16",2,"2020-06-08 09:35:28,2020-07-25 15:50:02","Jul 25, 2020, 15:50",19,5
"535,457","938,276",165,"Jun 15, 2021, 18:23","Jun 15, 2021, 18:23",1,2021-05-16 04:18:20,"May 16, 2021, 04:18",30,3.5
"384,007","938,276",169,"Feb 25, 2021, 20:50","Feb 25, 2021, 20:50",1,2021-02-24 09:26:02,"Feb 24, 2021, 09:26",1,
"645,274","938,276",219,"Jul 30, 2021, 07:33","Jul 30, 2021, 07:33",1,2021-04-30 10:28:26,"Apr 30, 2021, 10:28",90,3.33
"3,518,837","938,276",261,"Mar 4, 2025, 17:12","Mar 4, 2025, 17:12",1,2025-02-09 21:22:01,"Feb 9, 2025, 21:22",22,5
"3,658,586","938,276",271,"Jun 5, 2025, 17:01","Jun 5, 2025, 17:01",1,2025-04-28 13:18:41,"Apr 28, 2025, 13:18",38,4
"408,737","938,276",297,"Mar 21, 2021, 13:49","Mar 21, 2021, 13:49",1,2021-02-20 18:45:13,"Feb 20, 2021, 18:45",28,
"409,162","938,276",302,"Mar 22, 2021, 06:49","Mar 22, 2021, 06:49",1,2021-02-20 18:45:04,"Feb 20, 2021, 18:45",29,
"1,165,325","938,276",337,"Sep 2, 2022, 15:16","Sep 2, 2022, 15:16",1,2022-08-26 15:53:48,"Aug 26, 2022, 15:53",6,
"2,860,643","938,276",403,"Jul 22, 2024, 13:45","Jul 22, 2024, 13:45",2,"2022-05-16 06:01:46,2024-07-09 12:53:57","Jul 9, 2024, 12:53",13,4
"2,896,103","938,276",413,"Aug 25, 2024, 10:36","Aug 25, 2024, 10:36",1,2024-07-21 14:12:23,"Jul 21, 2024, 14:12",34,5
"2,577,318","938,276",610,"Mar 3, 2024, 11:54","Mar 3, 2024, 11:54",1,2024-02-09 00:08:36,"Feb 9, 2024, 00:08",23,5
"3,798,194","5,021,477",251,"Oct 8, 2025, 13:14","Oct 8, 2025, 13:14",1,2025-10-06 09:13:48,"Oct 6, 2025, 09:13",2,
"3,734,378","5,044,844",123,"Aug 30, 2025, 15:56","Aug 30, 2025, 15:56",1,2025-08-08 14:57:36,"Aug 8, 2025, 14:57",22,4
"3,809,474","5,044,844",163,"Oct 14, 2025, 13:13","Oct 14, 2025, 13:13",1,2025-08-08 14:57:36,"Aug 8, 2025, 14:57",66,4.5
"3,724,145","5,044,844",237,"Aug 24, 2025, 22:04","Aug 24, 2025, 22:04",1,2025-08-08 14:57:36,"Aug 8, 2025, 14:57",16,
"3,743,432","5,044,844",256,"Sep 9, 2025, 17:59","Sep 9, 2025, 17:59",1,2025-08-08 14:57:36,"Aug 8, 2025, 14:57",32,5
"3,722,393","5,044,844",302,"Aug 23, 2025, 21:26","Aug 23, 2025, 21:26",1,2025-08-08 14:57:36,"Aug 8, 2025, 14:57",15,
"3,755,753","5,044,844",315,"Sep 23, 2025, 10:29","Sep 23, 2025, 10:29",1,2025-08-08 14:57:36,"Aug 8, 2025, 14:57",45,5
